,case_1,case_2,similarity_score
5928,Florida awning manufacturer shooting,Accent Signage Systems shooting,0.7191
4096,Mercy Hospital shooting,Fort Hood shooting 2,0.6991
3101,Pensacola Naval base shooting,Chattanooga military recruitment center,0.6913
3129,Pensacola Naval base shooting,Northern Illinois University shooting,0.6691
2447,Orange office complex shooting,Caltrans maintenance yard shooting,0.6613
7952,Accent Signage Systems shooting,Standard Gravure shooting,0.661
527,Virginia Walmart shooting,Caltrans maintenance yard shooting,0.6573
4062,Mercy Hospital shooting,T&T Trucking shooting,0.656
5942,Florida awning manufacturer shooting,Atlantis Plastics shooting,0.6545
8739,Northern Illinois University shooting,Welding shop shooting,0.6532
